scenario,chemistry,year,value
cont,NMC111,2010,0.36
cont,NMC111,2011,0.36
cont,NMC111,2012,0.36
cont,NMC111,2013,0.36
cont,NMC111,2014,0.36
cont,NMC111,2015,0.36
cont,NMC111,2016,0.336
cont,NMC111,2017,0.312
cont,NMC111,2018,0.288
cont,NMC111,2019,0.264
cont,NMC111,2020,0.24
cont,NMC111,2021,0.205
cont,NMC111,2022,0.17
cont,NMC111,2023,0.135
cont,NMC111,2024,0.1
cont,NMC111,2025,0.065
cont,NMC111,2026,0.052
cont,NMC111,2027,0.039
cont,NMC111,2028,0.026
cont,NMC111,2029,0.013
cont,NMC111,2030,0
cont,NMC111,2031,0
cont,NMC111,2032,0
cont,NMC111,2033,0
cont,NMC111,2034,0
cont,NMC111,2035,0
cont,NMC111,2036,0
cont,NMC111,2037,0
cont,NMC111,2038,0
cont,NMC111,2039,0
cont,NMC111,2040,0
cont,NMC111,2041,0
cont,NMC111,2042,0
cont,NMC111,2043,0
cont,NMC111,2044,0
cont,NMC111,2045,0
cont,NMC111,2046,0
cont,NMC111,2047,0
cont,NMC111,2048,0
cont,NMC111,2049,0
cont,NMC111,2050,0
tc,NMC111,2010,0.36
tc,NMC111,2011,0.36
tc,NMC111,2012,0.36
tc,NMC111,2013,0.36
tc,NMC111,2014,0.36
tc,NMC111,2015,0.36
tc,NMC111,2016,0.336
tc,NMC111,2017,0.312
tc,NMC111,2018,0.288
tc,NMC111,2019,0.264
tc,NMC111,2020,0.24
tc,NMC111,2021,0.199
tc,NMC111,2022,0.158
tc,NMC111,2023,0.117
tc,NMC111,2024,0.076
tc,NMC111,2025,0.035
tc,NMC111,2026,0.028
tc,NMC111,2027,0.021
tc,NMC111,2028,0.014
tc,NMC111,2029,0.007
tc,NMC111,2030,0
tc,NMC111,2031,0
tc,NMC111,2032,0
tc,NMC111,2033,0
tc,NMC111,2034,0
tc,NMC111,2035,0
tc,NMC111,2036,0
tc,NMC111,2037,0
tc,NMC111,2038,0
tc,NMC111,2039,0
tc,NMC111,2040,0
tc,NMC111,2041,0
tc,NMC111,2042,0
tc,NMC111,2043,0
tc,NMC111,2044,0
tc,NMC111,2045,0
tc,NMC111,2046,0
tc,NMC111,2047,0
tc,NMC111,2048,0
